grid_id,week_start,outbreak_binary,grid_lat,grid_lon,outbreak_count,pred_proba,split_name,model_name,display_label,n_grids_in_week,risk_rank,risk_percentile,top1,top5,top10,top20
G005326,2023-04-03,1,42.81574042469704,141.57264851348003,2,0.3922747812982273,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1.0,1.0,True,True,True,True
G000416,2023-11-20,1,33.065246740495574,130.07421287675018,1,0.31612415875591177,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,736.0,0.8661446002549626,False,False,False,True
G000508,2023-11-27,1,32.08115028107473,130.34370746198604,1,0.6713727555730092,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,31.0,0.9945365142961209,True,True,True,True
G003353,2023-11-27,1,35.95162860749304,139.3268603031813,1,0.3751259756939288,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1912.0,0.651975960662903,False,False,False,False
G004012,2023-11-27,1,36.38674045853819,140.2251755873008,1,0.41412110129251833,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1592.0,0.7102531415042797,False,False,False,False
G002685,2024-01-01,1,35.58719413026271,136.72174597923464,1,0.28888486756361387,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1350.0,0.754325259515571,False,False,False,False
G003237,2024-01-01,1,36.603389066376934,138.96753418953347,1,0.202119414669829,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,2178.0,0.6035330540885084,False,False,False,False
G001109,2024-01-22,1,34.112868403862876,131.60134885975336,1,0.4330075533741201,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1101.0,0.7996721908577673,False,False,False,False
G000462,2024-02-05,1,31.393567757677687,130.25387593357408,1,0.13145161300465225,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,2264.0,0.5878710617373885,False,False,False,False
G001842,2024-02-05,1,34.187210306310234,133.75730554164022,1,0.17634251317070906,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1845.0,0.6641777454015663,False,False,False,False
G001370,2024-03-11,1,34.70576689408365,132.4996641438729,1,0.0,test_fy2023,geo_season_previous_week_weather,Geography–season–previous-week weather,5491,1914.0,0.6516117282826444,False,False,False,False
