grid_id,week_start,fiscal_year
G000416,2023-11-20,2023
G000508,2023-11-27,2023
G003353,2023-11-27,2023
G004012,2023-11-27,2023
G002685,2024-01-01,2023
G003237,2024-01-01,2023
G001109,2024-01-22,2023
G000462,2024-02-05,2023
G001842,2024-02-05,2023
G001370,2024-03-11,2023
G004107,2024-04-29,2024
G005564,2024-10-14,2024
G003074,2024-10-21,2024
G004433,2024-10-21,2024
G001376,2024-10-28,2024
G001842,2024-11-04,2024
G003462,2024-11-04,2024
G005100,2024-11-04,2024
G005825,2024-11-11,2024
G000508,2024-11-18,2024
G002668,2024-11-18,2024
G003436,2024-11-25,2024
G001055,2024-12-02,2024
G001621,2024-12-09,2024
G000704,2024-12-16,2024
G003644,2024-12-23,2024
G002735,2024-12-30,2024
G005119,2024-12-30,2024
G005259,2024-12-30,2024
G000933,2025-01-06,2024
G004430,2025-01-27,2024
G005084,2025-10-20,2025
G005272,2025-10-27,2025
G003462,2025-11-03,2025
G001057,2025-11-17,2025
G001745,2025-12-01,2025
G001942,2025-12-15,2025
G002129,2025-12-15,2025
G002364,2025-12-22,2025
G004117,2025-12-22,2025
G001092,2025-12-29,2025
G003354,2025-12-29,2025
G005504,2025-12-29,2025
G002049,2026-01-05,2025
G002590,2026-01-12,2025
G002779,2026-01-19,2025
G004918,2026-02-16,2025
G005502,2026-03-02,2025
G004647,2026-03-23,2025
